State Date       Time   Providers Details
IL    2022-05-03 06-05  +29       ['IL,Anna,62906,Kroger Pharmacy 02400672', 'IL,Bloomington,61701,Kroger Pharmacy 02100943', 'IL,Chicago,60608,Marianos Pharmacy 53100520', 'IL,Chicago,60610,Marianos Pharmacy 53100534', 'IL,Chicago,60614,Marianos Pharmacy 53100516', 'IL,Chicago,60622,Marianos Pharmacy 53100527', 'IL,Chicago,60630,Marianos Pharmacy 53100507', 'IL,Chicago,60640,Marianos Pharmacy 53100515', 'IL,Chicago,60640,Marianos Pharmacy 53100522', 'IL,Chicago,60653,Marianos Pharmacy 53100539', 'IL,Chicago,60657,Marianos Pharmacy 53100538', 'IL,Decatur,62521,Kroger Pharmacy 02100924', 'IL,East Peoria,61611,Kroger Pharmacy 02100705', 'IL,Elmhurst,60126,Marianos Pharmacy 53100511', 'IL,Evergreen Park,60805,Marianos Pharmacy 53100530', 'IL,Harwood Heights,60706,Marianos Pharmacy 53100510', 'IL,Hoffman Estates,60169,Marianos Pharmacy 53100506', 'IL,Marion,62959,Kroger Pharmacy 02400380', 'IL,Normal,61761,Cvs Store #07020', 'IL,North Aurora,60542,Cvs Store #17257', 'IL,Northbrook,60062,Marianos Pharmacy 53100533', 'IL,Oak Lawn,60453,Marianos Pharmacy 53100517', 'IL,Olney,62450,Cvs Store #06371', 'IL,Palatine,60067,Marianos Pharmacy 53100505', 'IL,Skokie,60076,Marianos Pharmacy 53100531', 'IL,Springfield,62702,Siu Medical Center', 'IL,Westchester,60154,Marianos Pharmacy 53100528', 'IL,Western Springs,60558,Marianos Pharmacy 53100529', 'IL,Wheaton,60187,Marianos Pharmacy 53100513']
IL    2022-05-03 06-05  -4        ['IL,Chicago,60612,University Of Illinois Hospital', 'IL,Chicago,60631,Amita Health Resurrection Medical C', 'IL,Downers Grove,60515,Cvs Store #02903', 'IL,Long Grove,60047,Cvs Store #08946']
IL    2022-05-04 05-12  +11       ['IL,Buffalo Grove,60089,Marianos Pharmacy 53100521', 'IL,Chicago,60612,University Of Illinois Hospital', 'IL,Chicago,60637,Osco Pharmacy', 'IL,Chicago,60640,Heartland Alliance Health - Uptown', 'IL,Chicago,60640,Howard Brown Health', 'IL,Des Plaines,60018,Omnicare Of N Illinois #48241', 'IL,Downers Grove,60515,Cvs Store #02903', 'IL,Lemont,60439,Cvs Store #03256', 'IL,Peru,61354,Hy-Vee Pharmacy (1525)', 'IL,St. Charles,60174,Osco Pharmacy', 'IL,Streator,61364,Kroger Pharmacy 02100982']
IL    2022-05-04 05-12  -4        ['IL,Chicago,60622,Amita Saints Mary And Elizabeth Med', 'IL,Evanston,60202,Amita Saint Francis Hospital', 'IL,Quincy,62301,Cvs Store #08636', 'IL,Springfield,62702,Siu Medical Center']
IL    2022-05-05 09-49  +6        ['IL,Chillicothe,61523,Kroger Pharmacy 02100677', 'IL,La Grange Park,60526,Osco Pharmacy', 'IL,Long Grove,60047,Cvs Store #08946', 'IL,Metropolis,62960,Massac Memorial Hospital', 'IL,Peoria,61606,Cvs Store #06455', 'IL,Wheaton,60187,Dupage County Care Center']
IL    2022-05-05 09-49  -1        ['IL,Zion,60099,Midwestern Regional Med Ctr']
IL    2022-05-06 06-12  +118      ['IL,Alton,62002,Walgreens Store #03714', 'IL,Arlington Heights,60005,Walgreens Store #03512', 'IL,Arlington Heights,60005,Walgreens Store #05594', 'IL,Aurora,60502,Walgreens Store #04151', 'IL,Aurora,60505,Walgreens Store #09404', 'IL,Bannockburn,60015,Walgreens Store #01438', 'IL,Barrington,60010,Walgreens Store #11662', 'IL,Batavia,60510,Walgreens Store #04561', 'IL,Batavia,60510,Walgreens Store #16092', 'IL,Beach Park,60087,Walgreens Store #02137', 'IL,Berwyn,60402,Walgreens Store #11154', 'IL,Bloomingdale,60108,Walgreens Store #05148', 'IL,Bloomington,61701,Walgreens Store #15164', 'IL,Bloomington,61704,Hy-Vee Pharmacy (1035)', 'IL,Buffalo Grove,60089,Walgreens Store #04988', 'IL,Buffalo Grove,60089,Walgreens Store #05832', 'IL,Carol Stream,60188,Walgreens Store #03993', 'IL,Chicago,60607,Walgreens Store #04461', 'IL,Chicago,60611,Walgreens Store #13974', 'IL,Chicago,60611,Walgreens Store #15921', 'IL,Chicago,60614,Instavaxx Llc', 'IL,Chicago,60618,Walgreens Store #00259', 'IL,Chicago,60618,Walgreens Store #05057', 'IL,Chicago,60623,Walgreens Store #00215', 'IL,Chicago,60624,Walgreens Store #03395', 'IL,Chicago,60630,Walgreens Store #09709', 'IL,Chicago,60634,Walgreens Store #04862', 'IL,Chicago,60641,Walgreens Store #04936', 'IL,Chicago,60647,Walgreens Store #15065', 'IL,Chicago,60655,Walgreens Store #07360', 'IL,Chicago,60657,Walgreens Store #03949', 'IL,Chicago,60659,Walgreens Store #06980', 'IL,Chicago,60659,Walgreens Store #13454', 'IL,Chicago,60660,Walgreens Store #04542', 'IL,Chicago,60660,Walgreens Store #15197', 'IL,Chicago,60661,Walgreens Store #04978', 'IL,Collinsville,62234,Walgreens Store #09750', 'IL,Darien,60561,Walgreens Store #09033', 'IL,Decatur,62526,Walgreens Store #05388', 'IL,Downers Grove,60515,Walgreens Store #04636', 'IL,Elgin,60120,Walgreens Store #09439', 'IL,Elk Grove Village,60007,Walgreens Store #05735', 'IL,Fox Lake,60020,Walgreens Store #03320', 'IL,Fox River Grove,60021,Walgreens Store #07860', 'IL,Frankfort,60423,Walgreens Store #04949', 'IL,Geneva,60134,Walgreens Store #04179', 'IL,Glen Ellyn,60137,Walgreens Store #05927', 'IL,Glen Ellyn,60137,Walgreens Store #06294', 'IL,Glenview,60025,Walgreens Store #04611', 'IL,Glenview,60025,Walgreens Store #05683', 'IL,Glenview,60025,Walgreens Store #06228', 'IL,Glenview,60026,Walgreens Store #02528', 'IL,Grayslake,60030,Walgreens Store #02985', 'IL,Grayslake,60030,Walgreens Store #05106', 'IL,Hainesville,60030,Walgreens Store #07824', 'IL,Hanover Park,60133,Walgreens Store #03729', 'IL,Highland,62249,Walgreens Store #01309', 'IL,Highwood,60040,Walgreens Store #05543', 'IL,Hillside,60162,Cvs Store #02827', 'IL,Hinsdale,60521,Walgreens Store #01670', 'IL,Hoffman Estates,60169,Walgreens Store #03433', 'IL,Hoffman Estates,60169,Walgreens Store #06760', 'IL,Itasca,60143,Walgreens Store #03622', 'IL,Jacksonville,62650,Walgreens Store #09176', 'IL,La Grange Highlands,60525,Walgreens Store #04874', 'IL,Lake Bluff,60044,Walgreens Store #06819', 'IL,Lake In The Hills,60156,Urbancare Llc', 'IL,Lake In The Hills,60156,Walgreens Store #03406', 'IL,Lincolnshire,60069,Walgreens Store #05256', 'IL,Lincolnwood,60712,Walgreens Store #09358', 'IL,Litchfield,62056,Walgreens Store #10718', 'IL,Minonk,61760,Green Tree Pharmacy', 'IL,Moline,61265,Walgreens Store #03633', 'IL,Mount Prospect,60056,Walgreens Store #05107', 'IL,Niles,60714,Walgreens Store #05542', 'IL,North Aurora,60542,Walgreens Store #01131', 'IL,Northbrook,60062,Walgreens Store #12584', 'IL,Northfield,60093,Walgreens Store #03926', 'IL,Northlake,60164,Walgreens Store #03995', 'IL,Oak Brook,60523,Walgreens Store #04939', 'IL,Oak Lawn,60453,Walgreens Store #01504', 'IL,Oak Park,60304,Walgreens Store #05235', 'IL,Olympia Fields,60461,Walgreens Store #07411', 'IL,Palatine,60067,Walgreens Store #04355', 'IL,Palatine,60067,Walgreens Store #07754', 'IL,Park Ridge,60068,Walgreens Store #04540', 'IL,Park Ridge,60068,Walgreens Store #15907', 'IL,Peoria,61614,Hy-Vee Pharmacy (1519)', 'IL,Posen,60469,Walgreens Store #05193', 'IL,Prospect Heights,60070,Walgreens Store #04146', 'IL,Quincy,62301,Walgreens Store #15249', 'IL,River Forest,60305,Walgreens Store #03076', 'IL,Rock Falls,61071,Walgreens Store #02473', 'IL,Romeoville,60446,Walgreens Store #07829', 'IL,Romeoville,60446,Walgreens Store #11195', 'IL,Salem,62881,Bandys Pharmacy Salem', 'IL,Sandwich,60548,Walgreens Store #07409', 'IL,Schaumburg,60193,Walgreens Store #12623', 'IL,Schaumburg,60194,Walgreens Store #07545', 'IL,Schaumburg,60194,Walgreens Store #09506', 'IL,Skokie,60076,Walgreens Store #15562', 'IL,South Elgin,60177,Walgreens Store #06796', 'IL,Spring Grove,60081,Walgreens Store #07769', 'IL,Springfield,62702,Cvs Store #06857', 'IL,Taylorville,62568,Walgreens Store #09892', 'IL,Vernon Hills,60061,Walgreens Store #04674', 'IL,Warrenville,60555,Walgreens Store #05712', 'IL,Waukegan,60085,Walgreens Store #03750', 'IL,West Chicago,60185,Walgreens Store #04069', 'IL,West Dundee,60118,Walgreens Store #04258', 'IL,Western Springs,60558,Walgreens Store #05384', 'IL,Westmont,60559,Walgreens Store #05275', 'IL,Westmont,60559,Walgreens Store #13827', 'IL,Wheaton,60187,Walgreens Store #07419', 'IL,Wheaton,60187,Walgreens Store #15471', 'IL,Wheaton,60189,Walgreens Store #13861', 'IL,Willowbrook,60527,Walgreens Store #04572', 'IL,Yorkville,60560,Walgreens Store #10498']
IL    2022-05-06 06-12  -44       ['IL,Antioch,60002,Walgreens Store #15261', 'IL,Berwyn,60402,Walgreens Store #05076', 'IL,Bloomingdale,60108,Walgreens Store #05520', 'IL,Bloomington,61701,Walgreens Store #09983', 'IL,Bloomington,61704,Walgreens Store #05188', 'IL,Bolingbrook,60440,Walgreens Store #04948', 'IL,Carpentersville,60110,Walgreens Store #06764', 'IL,Chicago,60603,Walgreens Store #05387', 'IL,Chicago,60611,Walgreens Store #00211', 'IL,Chicago,60611,Walgreens Store #15525', 'IL,Chicago,60615,Walgreens Store #00162', 'IL,Chicago,60616,Walgreens Store #00232', 'IL,Chicago,60617,Walgreens Store #05192', 'IL,Chicago,60632,Walgreens Store #05926', 'IL,Chicago,60639,Walgreens Store #04938', 'IL,Chicago,60643,Walgreens Store #09357', 'IL,Chicago,60653,Walgreens Store #04519', 'IL,Cicero,60804,Walgreens Store #05103', 'IL,Frankfort,60423,Walgreens Store #09326', 'IL,Franklin Park,60131,Walgreens Store #06462', 'IL,Glendale Hts,60139,Walgreens Store #04612', 'IL,Hillside,60162,Walgreens Store #06046', 'IL,Lake Villa,60046,Walgreens Store #05108', 'IL,Lemont,60439,Walgreens Store #03710', 'IL,Lombard,60148,Walgreens Store #04780', 'IL,Lombard,60148,Walgreens Store #09217', 'IL,Lyons,60534,Walgreens Store #01450', 'IL,Naperville,60540,Walgreens Store #03405', 'IL,Naperville,60540,Walgreens Store #07361', 'IL,Naperville,60563,Walgreens Store #03861', 'IL,Naperville,60564,Walgreens Store #03780', 'IL,New Lenox,60451,Walgreens Store #04032', 'IL,Orland Park,60462,Walgreens Store #04148', 'IL,Orland Park,60467,Walgreens Store #11224', 'IL,Paris,61944,Horizon Health', 'IL,Quincy,62301,Illinois Veterans Home Quincy', 'IL,South Elgin,60177,Walgreens Store #04463', 'IL,St Charles,60175,Walgreens Store #06795', 'IL,Tinley Park,60487,Walgreens Store #09331', 'IL,Villa Park,60181,Walgreens Store #04252', 'IL,Warrenville,60555,Walgreens Store #09925', 'IL,Waukegan,60085,Walgreens Store #03078', 'IL,Woodridge,60517,Walgreens Store #12624', 'IL,Woodstock,60098,Walgreens Store #01994']
IL    2022-05-07 05-45  +6        ['IL,Bridgeview,60455,Crescent Pharmacy', 'IL,Glenview,60026,Glenbrook Hospital', 'IL,Hoffman Estates,60169,St Alexius Medical Center Outpatien', 'IL,Pembroke Pines,61604,Alwan Rx And Compounding Center', 'IL,Peoria,61615,Kroger Pharmacy 02100918', 'IL,Silvis,61282,Illini Clinic Pharmacy']
IL    2022-05-07 05-45  -1        ['IL,Evanston,60202,Sfh Prof Bldg Pharmacy']
IL    2022-05-08 10-02  -1        ['IL,Woodridge,60517,Medwiz Pharmacy']
IL    2022-05-10 06-06  +3        ['IL,Hazel Crest,60429,Emerge Medstaffing', 'IL,Quincy,62301,Cvs Store #08636', 'IL,Washington,61571,Kroger Pharmacy 02100657']
IL    2022-05-10 06-06  -3        ['IL,Crystal Lake,60014,Cvs Store #16527', 'IL,Park Forest,60466,Cvs Store #08512', 'IL,Prophetstown,61277,Hartig Drug #20']
IL    2022-05-11 06-51  +48       ['IL,Algonquin,60102,Walgreens Store #09059', 'IL,Antioch,60002,Walgreens Store #15261', 'IL,Arlington Heights,60004,Walgreens Store #09246', 'IL,Bloomington,61701,Walgreens Store #09983', 'IL,Bolingbrook,60490,Walgreens Store #04460', 'IL,Bourbonnais,60914,Kroger Pharmacy 02100984', 'IL,Carbondale,62902,Kroger Pharmacy 02400714', 'IL,Carol Stream,60188,C S Family Pharmacy Inc', 'IL,Chicago,60610,Walgreens Store #13975', 'IL,Chicago,60611,Walgreens Store #15525', 'IL,Chicago,60614,Innovative Express Care - Diversey', 'IL,Chicago,60614,Walgreens Store #15350', 'IL,Chicago,60615,Walgreens Store #00162', 'IL,Chicago,60625,Walgreens Store #00194', 'IL,Chicago,60639,Walgreens Store #04938', 'IL,Chicago,60643,Walgreens Store #09357', 'IL,Chicago,60647,Infant Welfare Society Of Chicago', 'IL,Chicago,60657,Ahf Pharmacy', 'IL,Chicago,60657,Walgreens Store #03698', 'IL,Crestwood,60418,Walgreens Store #04947', 'IL,Des Plaines,60016,Walgreens Store #06601', 'IL,Des Plaines,60016,Walgreens Store #15262', 'IL,Dixon,61021,Walgreens Store #02591', 'IL,Elgin,60123,Walgreens Store #07100', 'IL,Gurnee,60031,Walgreens Store #05056', 'IL,Hickory Hills,60457,Walgreens Store #05139', 'IL,Hoffman Estates,60192,Walgreens Store #05553', 'IL,Joliet,60435,Walgreens Store #03929', 'IL,Joliet,60435,Walgreens Store #07866', 'IL,Lemont,60439,Walgreens Store #03710', 'IL,Libertyville,60048,Walgreens Store #05257', 'IL,Lindenhurst,60046,Walgreens Store #06905', 'IL,Morton Grove,60053,Walgreens Store #04503', 'IL,Mount Vernon,62864,Kroger Pharmacy 02400711', 'IL,Mundelein,60060,Walgreens Store #05830', 'IL,Naperville,60564,Walgreens Store #05515', 'IL,Niles,60714,Walgreens Store #05282', 'IL,Norridge,60706,Walgreens Store #11332', 'IL,Oak Park,60302,Walgreens Store #11760', 'IL,Olympia Fields,60461,Walgreens Store #03651', 'IL,Orland Park,60467,Walgreens Store #06439', 'IL,Peoria,61603,Osf Pharmacy', 'IL,South Chicago Heights,60411,Walgreens Store #05086', 'IL,South Elgin,60177,Walgreens Store #04463', 'IL,Springfield,62703,Walgreens Store #05137', 'IL,Springfield,62704,Walgreens Store #02071', 'IL,Wheeling,60090,Walgreens Store #04941', 'IL,Woodridge,60517,Medwiz Pharmacy']
IL    2022-05-11 06-51  -61       ['IL,Algonquin,60102,Walgreens Store #05284', 'IL,Aurora,60506,Walgreens Store #07467', 'IL,Bannockburn,60015,Walgreens Store #01438', 'IL,Batavia,60510,Walgreens Store #16092', 'IL,Bensenville,60106,Walgreens Store #09024', 'IL,Bolingbrook,60440,Walgreens Store #10374', 'IL,Broadview,60155,Walgreens Store #01449', 'IL,Buffalo Grove,60089,Walgreens Store #04988', 'IL,Buffalo Grove,60089,Walgreens Store #05832', 'IL,Chicago,60618,Walgreens Store #00259', 'IL,Chicago,60618,Walgreens Store #10649', 'IL,Chicago,60632,Walgreens Store #05234', 'IL,Chicago,60634,Walgreens Store #04862', 'IL,Chicago,60639,Walgreens Store #09470', 'IL,Chicago,60657,Walgreens Store #03949', 'IL,Chicago,60659,Walgreens Store #06980', 'IL,Chicago,60659,Walgreens Store #13454', 'IL,Chicago,60660,Walgreens Store #04542', 'IL,Chicago,60661,Walgreens Store #04978', 'IL,Crystal Lake,60014,Walgreens Store #06746', 'IL,Downers Grove,60515,Walgreens Store #04636', 'IL,Edwardsville,62025,Walgreens Store #05664', 'IL,Geneva,60134,Walgreens Store #04179', 'IL,Glen Ellyn,60137,Walgreens Store #05927', 'IL,Glen Ellyn,60137,Walgreens Store #06294', 'IL,Glenview,60025,Walgreens Store #04611', 'IL,Glenview,60026,Walgreens Store #02528', 'IL,Highwood,60040,Walgreens Store #05543', 'IL,Hinsdale,60521,Walgreens Store #01670', 'IL,Hoffman Estates,60169,Walgreens Store #03433', 'IL,Lake Bluff,60044,Walgreens Store #06819', 'IL,Lockport,60441,Walgreens Store #06703', 'IL,Macomb,61455,Cvs Store #08654', 'IL,Naperville,60564,Walgreens Store #06508', 'IL,Naperville,60565,Walgreens Store #13456', 'IL,Niles,60714,Walmart Pharmacy #3725', 'IL,Normal,61761,Walgreens Store #09313', 'IL,Northbrook,60062,Walgreens Store #12584', 'IL,Northlake,60164,Walgreens Store #03995', 'IL,Oak Lawn,60453,Walgreens Store #05713', 'IL,Oak Park,60304,Walgreens Store #05235', 'IL,Orland Park,60462,Walgreens Store #06580', 'IL,Peru,61354,Cvs Store #16351', 'IL,River Forest,60305,Walgreens Store #03076', 'IL,Rockford,61104,Walgreens Store #02828', 'IL,Romeoville,60446,Walgreens Store #06563', 'IL,Roselle,60172,Walgreens Store #09505', 'IL,Schaumburg,60193,Walgreens Store #12623', 'IL,Skokie,60076,Walgreens Store #15562', 'IL,Sparta,62286,Walmart Pharmacy #222', 'IL,Springfield,62703,Walgreens Store #03901', 'IL,Springfield,62711,Walgreens Store #11829', 'IL,St Charles,60174,Walgreens Store #07292', 'IL,Sterling,61081,Walgreens Store #03559', 'IL,Streamwood,60107,Walgreens Store #03927', 'IL,Sycamore,60178,Walgreens Store #05603', 'IL,Wauconda,60084,Walgreens Store #04277', 'IL,Westchester,60154,Walgreens Store #04664', 'IL,Western Springs,60558,Walgreens Store #05384', 'IL,Westmont,60559,Walgreens Store #05275', 'IL,Willowbrook,60527,Walgreens Store #04572']
IL    2022-05-12 07-16  +62       ['IL,Addison,60101,Walgreens Store #05468', 'IL,Bartlett,60103,Walgreens Store #15482', 'IL,Bloomingdale,60108,Walgreens Store #05520', 'IL,Bloomington,61701,Walgreens Store #11828', 'IL,Buffalo Grove,60089,Walgreens Store #04988', 'IL,Chicago,60613,Walgreens Store #04505', 'IL,Chicago,60618,Osco Pharmacy', 'IL,Chicago,60618,Walgreens Store #00259', 'IL,Chicago,60632,Walgreens Store #05926', 'IL,Chicago,60645,Walgreens Store #00252', 'IL,Chicago,60647,Walgreens Store #07687', 'IL,Chicago,60657,Walgreens Store #04494', 'IL,Crystal Lake,60014,Walgreens Store #06746', 'IL,Darien,60561,Walgreens Store #06176', 'IL,Decatur,62526,Walgreens Store #09792', 'IL,Des Plaines,60016,Walgreens Store #06866', 'IL,Downers Grove,60515,Osco Pharmacy', 'IL,Edwardsville,62025,Walgreens Store #05664', 'IL,Elmwood Park,60707,Walgreens Store #13826', 'IL,Evanston,60202,Walgreens Store #04218', 'IL,Fox Lake,60020,Osco Pharmacy', 'IL,Franklin Park,60131,Walgreens Store #06462', 'IL,Glendale Hts,60139,Walgreens Store #04612', 'IL,Glenview,60025,Walgreens Store #13832', 'IL,Hinsdale,60521,Adventist Hinsdale Hosp Outpatient', 'IL,Lake Villa,60046,Walgreens Store #05108', 'IL,Lake Zurich,60047,Walgreens Store #04464', 'IL,Libertyville,60048,Walgreens Store #05258', 'IL,Lincoln,62656,Walgreens Store #05976', 'IL,Lombard,60148,Walgreens Store #04780', 'IL,Lombard,60148,Walgreens Store #09217', 'IL,Lyons,60534,Walgreens Store #01450', 'IL,Naperville,60540,Walgreens Store #03405', 'IL,Naperville,60540,Walgreens Store #07361', 'IL,Naperville,60540,Walgreens Store #10148', 'IL,Naperville,60563,Walgreens Store #03861', 'IL,Naperville,60564,Walgreens Store #06508', 'IL,Naperville,60565,Walgreens Store #02335', 'IL,New Lenox,60451,Walgreens Store #04032', 'IL,Orland Park,60462,Walgreens Store #04148', 'IL,Prophetstown,61277,Hartig Drug #20', 'IL,Quincy,62301,Illinois Veterans Home Quincy', 'IL,River Forest,60305,Walgreens Store #03076', 'IL,Round Lake Beach,60073,Walgreens Store #04940', 'IL,Savanna,61074,Hartig Drug 29', 'IL,Schiller Park,60176,Walgreens Store #04826', 'IL,Skokie,60076,Walgreens Store #15066', 'IL,Skokie,60076,Walgreens Store #15562', 'IL,Skokie,60077,Walgreens Store #05147', 'IL,Springfield,62702,Walgreens Store #02492', 'IL,Springfield,62702,Walgreens Store #03501', 'IL,Springfield,62711,Walgreens Store #11829', 'IL,Sterling,61081,Walgreens Store #03559', 'IL,Sugar Grove,60554,Walgreens Store #09431', 'IL,Urbana,61801,Carle Foundation Hospital', 'IL,Villa Park,60181,Walgreens Store #03994', 'IL,Wauconda,60084,Walgreens Store #04277', 'IL,Waukegan,60085,Walgreens Store #03078', 'IL,Wheeling,60090,Walgreens Store #05609', 'IL,Willowbrook,60527,Walgreens Store #06475', 'IL,Winfield,60190,Walgreens Store #06518', 'IL,Woodridge,60517,Walgreens Store #12624']
IL    2022-05-12 07-16  -47       ['IL,Alton,62002,Cvs Store #06832', 'IL,Arlington Heights,60005,Walgreens Store #05594', 'IL,Berwyn,60402,Walgreens Store #11154', 'IL,Bloomingdale,60108,Walgreens Store #05148', 'IL,Bloomington,61701,Walgreens Store #15164', 'IL,Bolingbrook,60490,Walgreens Store #04460', 'IL,Bridgeview,60455,Walgreens Store #00089', 'IL,Broadview,60155,Walgreens Store #05149', 'IL,Chicago,60607,Walgreens Store #04461', 'IL,Chicago,60611,Walgreens Store #15921', 'IL,Chicago,60615,Walgreens Store #00162', 'IL,Chicago,60618,Walgreens Store #05057', 'IL,Chicago,60626,Walgreens Store #01308', 'IL,Chicago,60638,Walgreens Store #06297', 'IL,Chicago,60656,Walgreens Store #07515', 'IL,Chicago,60660,Walgreens Store #15197', 'IL,Elgin,60123,Walgreens Store #07100', 'IL,Fox River Grove,60021,Walgreens Store #07860', 'IL,Glenview,60025,Walgreens Store #05683', 'IL,Grayslake,60030,Walgreens Store #05106', 'IL,Gurnee,60031,Walgreens Store #05056', 'IL,Hanover Park,60133,Walgreens Store #03729', 'IL,Hillside,60162,Walgreens Store #04009', 'IL,La Grange Highlands,60525,Walgreens Store #04874', 'IL,Lincolnshire,60069,Walgreens Store #05256', 'IL,Machesney Park,61115,Walgreens Store #12126', 'IL,Maywood,60153,Walgreens Store #03779', 'IL,Montgomery,60538,Walgreens Store #04779', 'IL,Morton Grove,60053,Walgreens Store #04503', 'IL,Naperville,60563,Walgreens Store #06820', 'IL,New Lenox,60451,Walgreens Store #06180', 'IL,Niles,60714,Walgreens Store #05542', 'IL,Northfield,60093,Walgreens Store #03926', 'IL,Oak Brook,60523,Walgreens Store #04939', 'IL,Oak Lawn,60453,Walgreens Store #01504', 'IL,Oswego,60543,Walgreens Store #05824', 'IL,Palatine,60067,Walgreens Store #04355', 'IL,Park Ridge,60068,Walgreens Store #04540', 'IL,Park Ridge,60068,Walgreens Store #15907', 'IL,Peoria,61603,Osf Medi-Park Pharmacy', 'IL,Rockford,61108,Walgreens Store #04777', 'IL,Schaumburg,60194,Walgreens Store #09506', 'IL,Sherman,62684,Walgreens Store #13852', 'IL,Vernon Hills,60061,Walgreens Store #04674', 'IL,Wheaton,60187,Walgreens Store #07419', 'IL,Wheaton,60187,Walgreens Store #15471', 'IL,Wheeling,60090,Walgreens Store #04941']
IL    2022-05-13 06-07  +18       ['IL,Bolingbrook,60490,Walgreens Store #04460', 'IL,Chicago,60611,Walgreens Store #15921', 'IL,Chicago,60623,Walgreens Store #15506', 'IL,Crystal Lake,60014,Cvs Store #16527', 'IL,Des Plaines,60016,Walgreens Store #05711', 'IL,Gibson City,60936,Gibson Area Hospital', 'IL,Glenview,60026,Walgreens Store #02528', 'IL,Greenville,62246,Bond County Pharmacy', 'IL,Hillside,60162,Walgreens Store #06046', 'IL,Macomb,61455,Cvs Store #08654', 'IL,Murphysboro,62966,Kroger Pharmacy 02400660', 'IL,Murphysboro,62966,Shawnee Hlth Care Murphysboro', 'IL,Niles,60714,Walmart Pharmacy #3725', 'IL,Oak Lawn,60453,Walgreens Store #01504', 'IL,Peoria,61614,Kroger Pharmacy 02100917', 'IL,Sparta,62286,Walmart Pharmacy #222', 'IL,Springfield,62702,Walgreens Store #09145', 'IL,Vandalia,62471,Cains Drug Store']
IL    2022-05-13 06-07  -27       ['IL,Addison,60101,Cvs Store #08693', 'IL,Antioch,60002,Cvs Store #08926', 'IL,Arlington Heights,60004,Marianos Pharmacy 53100501', 'IL,Aurora,60502,Walgreens Store #04151', 'IL,Carol Stream,60188,Walgreens Store #03993', 'IL,Cary,60013,Walgreens Store #04040', 'IL,Chicago,60630,Walgreens Store #09709', 'IL,Chicago,60638,Walgreens Store #03321', 'IL,Clinton,61727,Walgreens Store #10800', 'IL,Crystal Lake,60014,Walgreens Store #06746', 'IL,Edwardsville,62025,Cvs Store #03259', 'IL,Elgin,60120,Walgreens Store #02986', 'IL,Evergreen Park,60805,Walgreens Store #09141', 'IL,Hanover Park,60133,Walgreens Store #05366', 'IL,Huntley,60142,Walgreens Store #11739', 'IL,Itasca,60143,Walgreens Store #03622', 'IL,Lake In The Hills,60156,Walgreens Store #03406', 'IL,Libertyville,60048,Walgreens Store #05257', 'IL,Lyons,60534,Walgreens Store #01450', 'IL,Mt Prospect,60056,Walmart Pharmacy #1681', 'IL,Niles,60714,Walgreens Store #05282', 'IL,Palatine,60067,Walgreens Store #07754', 'IL,Rockford,61104,Walgreens Store #03322', 'IL,Schaumburg,60194,Walgreens Store #07545', 'IL,South Elgin,60177,Walgreens Store #06796', 'IL,Woodridge,60517,Cvs Store #16304', 'IL,Zion,60099,Walgreens Store #05829']
